Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,Position
ALO,Aston Martin,4.0,97.453,SOFT,4.0,2.0,5.0
ALO,Aston Martin,5.0,97.532,SOFT,5.0,2.0,5.0
ALO,Aston Martin,6.0,97.861,SOFT,6.0,2.0,5.0
ALO,Aston Martin,7.0,98.203,SOFT,7.0,2.0,5.0
ALO,Aston Martin,8.0,98.461,SOFT,8.0,2.0,5.0
ALO,Aston Martin,9.0,98.884,SOFT,9.0,2.0,5.0
ALO,Aston Martin,10.0,98.781,SOFT,10.0,2.0,5.0
ALO,Aston Martin,11.0,98.943,SOFT,11.0,2.0,5.0
ALO,Aston Martin,12.0,98.744,SOFT,12.0,2.0,4.0
ALO,Aston Martin,15.0,97.453,MEDIUM,2.0,3.0,8.0
ALO,Aston Martin,16.0,97.021,MEDIUM,3.0,3.0,8.0
ALO,Aston Martin,17.0,96.999,MEDIUM,4.0,3.0,8.0
ALO,Aston Martin,18.0,97.031,MEDIUM,5.0,3.0,8.0
ALO,Aston Martin,19.0,96.821,MEDIUM,6.0,3.0,8.0
ALO,Aston Martin,20.0,97.615,MEDIUM,7.0,3.0,8.0
ALO,Aston Martin,21.0,97.565,MEDIUM,8.0,3.0,8.0
ALO,Aston Martin,22.0,97.721,MEDIUM,9.0,3.0,6.0
ALO,Aston Martin,23.0,97.64,MEDIUM,10.0,3.0,6.0
ALO,Aston Martin,24.0,97.435,MEDIUM,11.0,3.0,6.0
ALO,Aston Martin,25.0,97.423,MEDIUM,12.0,3.0,6.0
ALO,Aston Martin,26.0,97.289,MEDIUM,13.0,3.0,6.0
ALO,Aston Martin,27.0,97.359,MEDIUM,14.0,3.0,4.0
ALO,Aston Martin,28.0,97.341,MEDIUM,15.0,3.0,4.0
ALO,Aston Martin,29.0,97.782,MEDIUM,16.0,3.0,4.0
ALO,Aston Martin,30.0,97.643,MEDIUM,17.0,3.0,4.0
ALO,Aston Martin,31.0,97.451,MEDIUM,18.0,3.0,4.0
ALO,Aston Martin,32.0,97.635,MEDIUM,19.0,3.0,4.0
ALO,Aston Martin,35.0,95.771,HARD,2.0,4.0,8.0
ALO,Aston Martin,36.0,95.353,HARD,3.0,4.0,8.0
ALO,Aston Martin,37.0,95.381,HARD,4.0,4.0,8.0
ALO,Aston Martin,38.0,95.487,HARD,5.0,4.0,7.0
